mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
7.007999999999999,0.445,3.788,0.638,1.07,1.152,6.648,2.047,0.0
5.867999999999999,0.45,3.051,0.491,1.069,1.0490000000000002,5.66,2.124,0.0
6.733,0.552,2.6460000000000004,0.47700000000000004,0.982,1.0190000000000001,5.124,2.12,0.0
7.149,0.61,2.597,0.46,0.897,1.036,4.99,1.9780000000000002,0.0
7.685,0.598,2.483,0.43799999999999994,0.915,0.961,4.797,1.9680000000000002,0.0
5.409,0.615,2.385,0.428,0.885,0.894,4.592,2.0469999999999997,0.0
5.235,0.585,2.498,0.405,0.84,0.8859999999999999,4.63,2.07,0.0
6.031000000000001,0.59,2.349,0.42200000000000004,0.917,1.037,4.725,1.712,0.0
6.892,0.61,2.186,0.40399999999999997,0.835,0.884,4.309,1.709,0.0
5.768,0.59,2.073,0.41600000000000004,0.9179999999999999,0.9279999999999999,4.335,1.9180000000000001,0.0
6.7010000000000005,0.58,2.36,0.41600000000000004,0.872,0.985,4.633,1.892,0.0
6.332999999999999,0.618,2.231,0.415,0.772,0.8690000000000001,4.288,1.838,0.0
6.441,0.5479999999999999,2.2030000000000003,0.387,0.9159999999999999,0.885,4.391,1.94,0.0
6.875,0.622,2.064,0.419,0.838,1.018,4.3389999999999995,1.579,0.0
6.457000000000001,0.632,1.982,0.374,0.797,0.871,4.024,1.671,0.0
8.044,0.628,1.913,0.41,0.838,1.034,4.195,1.839,0.0
6.727,0.615,1.8330000000000002,0.401,0.8220000000000001,0.9470000000000001,4.003,1.847,0.0
6.647,0.57,2.0540000000000003,0.40399999999999997,0.8959999999999999,0.9309999999999999,4.285,1.761,0.0
6.167000000000001,0.62,2.093,0.377,0.7929999999999999,0.941,4.205,1.933,0.0
6.829,0.635,1.829,0.397,0.831,0.919,3.975,1.6059999999999999,0.0
5.699,0.545,1.915,0.366,0.896,0.992,4.17,2.352,0.0
4.928,0.61,1.668,0.341,0.842,0.978,3.83,2.296,0.0
6.104,0.61,1.782,0.393,0.809,0.974,3.958,2.196,0.0
5.754,0.588,1.673,0.354,0.83,0.949,3.806,2.111,0.0
5.929,0.635,1.876,0.376,0.81,0.954,4.016,2.276,0.0
4.956,0.65,1.616,0.352,0.753,0.881,3.602,2.296,0.0
3.921,0.625,1.691,0.343,0.763,0.821,3.618,2.813,0.0
3.713,0.665,1.573,0.356,0.78,0.785,3.494,2.434,0.0
4.314,0.662,1.519,0.351,0.764,0.852,3.486,2.393,0.0
3.704,0.652,1.762,0.363,0.836,0.806,3.767,2.762,0.0
4.626,0.638,1.584,0.346,0.796,0.849,3.574,2.352,0.0
3.42,0.64,1.492,0.333,0.769,0.923,3.517,2.923,0.0
3.644,0.678,1.322,0.348,0.747,0.818,3.235,2.724,0.0
3.759,0.668,1.679,0.354,0.778,0.84,3.651,2.478,0.0
3.539,0.692,1.516,0.325,0.72,0.744,3.306,2.51,0.0
3.205,0.67,1.46,0.333,0.704,0.833,3.33,3.088,0.0
3.588,0.655,1.505,0.324,0.798,0.891,3.518,2.366,0.0
4.191,0.678,1.456,0.342,0.751,0.822,3.371,2.698,0.0
3.087,0.652,1.379,0.317,0.692,0.714,3.102,2.839,0.0
3.672,0.65,1.421,0.33,0.752,0.785,3.288,2.808,0.0
