mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.381,0.8,5.484,0.38,1.104,0.481,7.449,3.848,0.0
0.294,0.848,5.71,0.353,0.68,0.29,7.033,3.77,0.0
0.16899999999999998,0.862,5.506,0.35,0.57,0.232,6.658,4.47,0.0
0.151,0.87,5.347,0.364,0.633,0.266,6.61,4.313,0.0
0.263,0.845,4.457,0.35100000000000003,0.785,0.349,5.943,3.093,0.0
0.528,0.8,4.739,0.33,0.818,0.35200000000000004,6.239,2.387,0.0
0.698,0.722,4.687,0.328,0.907,0.45,6.372000000000001,2.52,0.0
0.31,0.7979999999999999,4.482,0.331,0.737,0.405,5.954,3.108,0.0
0.409,0.79,4.2860000000000005,0.325,0.768,0.394,5.774,2.794,0.0
0.813,0.725,3.764,0.293,0.769,0.389,5.215,2.175,0.0
1.136,0.71,3.763,0.307,0.7979999999999999,0.447,5.315,1.6669999999999998,0.0
0.633,0.775,4.192,0.311,0.63,0.406,5.539,2.137,0.0
3.3310000000000004,0.65,3.119,0.297,0.8370000000000001,0.5429999999999999,4.797,1.228,0.0
6.541,0.55,1.606,0.29600000000000004,1.011,0.599,3.513,1.146,0.0
6.6960000000000015,0.5920000000000001,1.78,0.267,0.923,0.608,3.5780000000000003,1.122,0.0
5.343,0.57,1.597,0.259,0.991,0.5539999999999999,3.401,1.106,0.0
6.2879999999999985,0.55,1.777,0.274,0.965,0.545,3.5610000000000004,1.148,0.0
5.6179999999999986,0.5379999999999999,1.816,0.261,1.018,0.565,3.661,1.11,0.0
5.858,0.578,1.501,0.259,0.95,0.56,3.27,1.085,0.0
5.393,0.5820000000000001,1.3630000000000002,0.225,0.904,0.537,3.029,1.15,0.0
6.327000000000001,0.545,1.455,0.247,0.924,0.5710000000000001,3.197,1.095,0.0
5.775,0.565,1.618,0.247,0.922,0.542,3.329,1.055,0.0
5.7479999999999976,0.552,1.66,0.265,0.899,0.596,3.42,1.109,0.0
5.562,0.598,1.618,0.254,0.8759999999999999,0.594,3.342,1.09,0.0
5.136,0.5579999999999999,1.924,0.255,0.941,0.544,3.665,1.065,0.0
5.7410000000000005,0.59,1.514,0.257,0.951,0.5429999999999999,3.264,1.098,0.0
6.117000000000001,0.568,1.384,0.23,0.902,0.505,3.022,1.075,0.0
5.942,0.588,1.631,0.233,0.921,0.465,3.25,1.141,0.0
5.99,0.615,1.289,0.238,0.908,0.505,2.94,1.067,0.0
6.8870000000000005,0.562,1.506,0.232,0.942,0.53,3.2110000000000003,1.156,0.0
5.35,0.6,1.421,0.251,0.89,0.464,3.027,1.065,0.0
5.098,0.625,1.04,0.199,0.826,0.468,2.533,1.061,0.0
5.564,0.622,1.33,0.24,0.828,0.5379999999999999,2.9360000000000004,1.105,0.0
5.99,0.6,1.22,0.219,0.883,0.536,2.858,1.075,0.0
5.925,0.612,1.41,0.231,0.885,0.498,3.025,1.1,0.0
6.438,0.622,1.109,0.231,0.841,0.471,2.651,1.086,0.0
5.553,0.632,1.4280000000000002,0.231,0.8859999999999999,0.485,3.029,1.073,0.0
5.627000000000002,0.58,1.315,0.241,0.894,0.526,2.9760000000000004,1.055,0.0
6.9220000000000015,0.5820000000000001,1.41,0.212,0.872,0.484,2.978,1.074,0.0
7.21,0.605,1.19,0.221,0.871,0.519,2.802,1.084,0.0
6.728,0.588,1.274,0.207,0.888,0.482,2.8510000000000004,1.074,0.0
6.61,0.59,1.3230000000000002,0.227,0.913,0.502,2.965,1.056,0.0
